lat,lon,geometry
-87.64061065791103,41.66118220092816,POINT (-87.64061065791103 41.66118220092816)
-87.60733249962075,41.66118220092816,POINT (-87.60733249962075 41.66118220092816)
-87.59069342047562,41.66118220092816,POINT (-87.59069342047562 41.66118220092816)
-87.57405434133048,41.66118220092816,POINT (-87.57405434133048 41.66118220092816)
-87.55741526218534,41.66118220092816,POINT (-87.55741526218534 41.66118220092816)
-87.54077618304021,41.66118220092816,POINT (-87.54077618304021 41.66118220092816)
-87.6738888162013,41.67782128007329,POINT (-87.6738888162013 41.67782128007329)
-87.65724973705616,41.67782128007329,POINT (-87.65724973705616 41.67782128007329)
-87.64061065791103,41.67782128007329,POINT (-87.64061065791103 41.67782128007329)
-87.62397157876589,41.67782128007329,POINT (-87.62397157876589 41.67782128007329)
-87.60733249962075,41.67782128007329,POINT (-87.60733249962075 41.67782128007329)
-87.59069342047562,41.67782128007329,POINT (-87.59069342047562 41.67782128007329)
-87.57405434133048,41.67782128007329,POINT (-87.57405434133048 41.67782128007329)
-87.55741526218534,41.67782128007329,POINT (-87.55741526218534 41.67782128007329)
-87.54077618304021,41.67782128007329,POINT (-87.54077618304021 41.67782128007329)
-87.70716697449157,41.69446035921842,POINT (-87.70716697449157 41.69446035921842)
-87.69052789534643,41.69446035921842,POINT (-87.69052789534643 41.69446035921842)
-87.6738888162013,41.69446035921842,POINT (-87.6738888162013 41.69446035921842)
-87.65724973705616,41.69446035921842,POINT (-87.65724973705616 41.69446035921842)
-87.64061065791103,41.69446035921842,POINT (-87.64061065791103 41.69446035921842)
-87.62397157876589,41.69446035921842,POINT (-87.62397157876589 41.69446035921842)
-87.60733249962075,41.69446035921842,POINT (-87.60733249962075 41.69446035921842)
-87.59069342047562,41.69446035921842,POINT (-87.59069342047562 41.69446035921842)
-87.57405434133048,41.69446035921842,POINT (-87.57405434133048 41.69446035921842)
-87.55741526218534,41.69446035921842,POINT (-87.55741526218534 41.69446035921842)
-87.54077618304021,41.69446035921842,POINT (-87.54077618304021 41.69446035921842)
-87.69052789534643,41.71109943836355,POINT (-87.69052789534643 41.71109943836355)
-87.6738888162013,41.71109943836355,POINT (-87.6738888162013 41.71109943836355)
-87.65724973705616,41.71109943836355,POINT (-87.65724973705616 41.71109943836355)
-87.64061065791103,41.71109943836355,POINT (-87.64061065791103 41.71109943836355)
-87.62397157876589,41.71109943836355,POINT (-87.62397157876589 41.71109943836355)
-87.60733249962075,41.71109943836355,POINT (-87.60733249962075 41.71109943836355)
-87.59069342047562,41.71109943836355,POINT (-87.59069342047562 41.71109943836355)
-87.57405434133048,41.71109943836355,POINT (-87.57405434133048 41.71109943836355)
-87.55741526218534,41.71109943836355,POINT (-87.55741526218534 41.71109943836355)
-87.54077618304021,41.71109943836355,POINT (-87.54077618304021 41.71109943836355)
-87.6738888162013,41.727738517508676,POINT (-87.6738888162013 41.727738517508676)
-87.65724973705616,41.727738517508676,POINT (-87.65724973705616 41.727738517508676)
-87.64061065791103,41.727738517508676,POINT (-87.64061065791103 41.727738517508676)
-87.62397157876589,41.727738517508676,POINT (-87.62397157876589 41.727738517508676)
-87.60733249962075,41.727738517508676,POINT (-87.60733249962075 41.727738517508676)
-87.59069342047562,41.727738517508676,POINT (-87.59069342047562 41.727738517508676)
-87.57405434133048,41.727738517508676,POINT (-87.57405434133048 41.727738517508676)
-87.55741526218534,41.727738517508676,POINT (-87.55741526218534 41.727738517508676)
-87.54077618304021,41.727738517508676,POINT (-87.54077618304021 41.727738517508676)
-87.74044513278184,41.744377596653806,POINT (-87.74044513278184 41.744377596653806)
-87.72380605363671,41.744377596653806,POINT (-87.72380605363671 41.744377596653806)
-87.70716697449157,41.744377596653806,POINT (-87.70716697449157 41.744377596653806)
-87.69052789534643,41.744377596653806,POINT (-87.69052789534643 41.744377596653806)
-87.6738888162013,41.744377596653806,POINT (-87.6738888162013 41.744377596653806)
-87.65724973705616,41.744377596653806,POINT (-87.65724973705616 41.744377596653806)
-87.64061065791103,41.744377596653806,POINT (-87.64061065791103 41.744377596653806)
-87.62397157876589,41.744377596653806,POINT (-87.62397157876589 41.744377596653806)
-87.60733249962075,41.744377596653806,POINT (-87.60733249962075 41.744377596653806)
-87.59069342047562,41.744377596653806,POINT (-87.59069342047562 41.744377596653806)
-87.57405434133048,41.744377596653806,POINT (-87.57405434133048 41.744377596653806)
-87.55741526218534,41.744377596653806,POINT (-87.55741526218534 41.744377596653806)
-87.54077618304021,41.744377596653806,POINT (-87.54077618304021 41.744377596653806)
-87.74044513278184,41.761016675798935,POINT (-87.74044513278184 41.761016675798935)
-87.72380605363671,41.761016675798935,POINT (-87.72380605363671 41.761016675798935)
-87.70716697449157,41.761016675798935,POINT (-87.70716697449157 41.761016675798935)
-87.69052789534643,41.761016675798935,POINT (-87.69052789534643 41.761016675798935)
-87.6738888162013,41.761016675798935,POINT (-87.6738888162013 41.761016675798935)
-87.65724973705616,41.761016675798935,POINT (-87.65724973705616 41.761016675798935)
-87.64061065791103,41.761016675798935,POINT (-87.64061065791103 41.761016675798935)
-87.62397157876589,41.761016675798935,POINT (-87.62397157876589 41.761016675798935)
-87.60733249962075,41.761016675798935,POINT (-87.60733249962075 41.761016675798935)
-87.59069342047562,41.761016675798935,POINT (-87.59069342047562 41.761016675798935)
-87.57405434133048,41.761016675798935,POINT (-87.57405434133048 41.761016675798935)
-87.55741526218534,41.761016675798935,POINT (-87.55741526218534 41.761016675798935)
-87.79036237021725,41.777655754944064,POINT (-87.79036237021725 41.777655754944064)
